ano,fase,pedra,ian,faixa_ian,ida,ieg,iaa,ips,ipp,defasagem,risco_defasagem,origem_aba,ra,turma,nome,ano_nasc,idade_22,genero,ano_ingresso,instituicao_de_ensino,pedra_20,pedra_21,pedra_22,inde_22,cg,cf,ct,nº_av,avaliador1,rec_av1,avaliador2,rec_av2,avaliador3,rec_av3,avaliador4,rec_av4,rec_psicologia,matem,portug,ingles,indicado,atingiu_pv,ipv,fase_ideal,destaque_ieg,destaque_ida,destaque_ipv,inde_2023,nome_anonimizado,data_de_nasc,idade,pedra_23,inde_23,mat,por,ing,destaque_ipv_1,inde_2024,avaliador5,avaliador6,escola,ativo_inativo,ativo_inativo_1
2022,7,,5.0,Moderada,4.0,4.1,8.3,5.6,,-1,1,PEDE2022,RA-1,A,Aluno-1,2003.0,19.0,Menina,2016,Escola Pública,Ametista,Ametista,Quartzo,5.783,753.0,18.0,10.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,Requer avaliação,2.7,3.5,6.0,Sim,Não,7.278,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,8,,10.0,Adequada,6.8,5.2,8.8,6.3,,0,0,PEDE2022,RA-2,A,Aluno-2,2005.0,17.0,Menina,2017,Rede Decisão,Ametista,Ametista,Ametista,7.055,469.0,8.0,3.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,6.3,4.5,9.7,Não,Não,6.778,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,10.0,Adequada,5.6,7.9,0.0,5.6,,0,0,PEDE2022,RA-3,A,Aluno-3,2005.0,17.0,Menina,2016,Rede Decisão,Ametista,Ametista,Ágata,6.591,629.0,13.0,6.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,5.8,4.0,6.9,Não,Não,7.556,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,10.0,Adequada,5.0,4.5,8.8,5.6,,0,0,PEDE2022,RA-4,A,Aluno-4,2005.0,17.0,Menino,2017,Rede Decisão,Ametista,Ametista,Quartzo,5.951,731.0,15.0,7.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Requer avaliação,2.8,3.5,8.7,Não,Não,5.278,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,10.0,Adequada,5.2,8.6,7.9,5.6,,0,0,PEDE2022,RA-5,A,Aluno-5,2005.0,17.0,Menina,2016,Rede Decisão,Ametista,Ametista,Ametista,7.427,344.0,6.0,2.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Requer avaliação,7.0,2.9,5.7,Não,Não,7.389,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,3.3,4.5,7.9,7.5,,-1,1,PEDE2022,RA-6,A,Aluno-6,2004.0,18.0,Menina,2021,Escola Pública,,Ágata,Quartzo,5.848,745.0,16.0,8.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Sem limitações,2.3,5.3,2.3,Sim,Não,7.222,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,7.6,8.4,0.0,7.5,,-1,1,PEDE2022,RA-7,A,Aluno-7,2004.0,18.0,Menino,2017,Rede Decisão,Ametista,Ametista,Ágata,6.818,550.0,11.0,5.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Sem limitações,8.2,5.7,9.0,Não,Não,7.667,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,1.6,4.6,7.1,6.3,,-1,1,PEDE2022,RA-8,A,Aluno-8,2002.0,20.0,Menina,2018,Escola Pública,Quartzo,Ágata,Quartzo,4.786,836.0,21.0,13.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Requer avaliação,1.2,0.7,2.9,Não,Não,6.278,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,6.7,9.5,8.8,7.5,,-1,1,PEDE2022,RA-9,A,Aluno-9,2004.0,18.0,Menina,2019,Escola Pública,Ametista,Ametista,Topázio,8.109,113.0,1.0,1.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase + Bolsa,Sem limitações,5.5,6.0,8.7,Sim,Sim,9.5,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,4.1,5.2,8.3,5.0,,-1,1,PEDE2022,RA-10,A,Aluno-10,2004.0,18.0,Menina,2021,Escola Pública,,Ágata,Quartzo,5.784,752.0,17.0,9.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Requer avaliação,3.3,2.6,6.4,Não,Não,7.056,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
