feature,importance_mean,importance_std
ian,0.407178802822838,0.019254348387222738
ipp,0.00048517528330745406,0.00032042212889019556
ips,0.00039786480725457763,0.00036512588454471384
ieg,7.526765177068296e-07,1.6143112851471115e-06
desempenho_academico,2.2204460492503132e-17,4.4408920985006264e-17
iaa,2.2204460492503132e-17,4.440892098500627e-17
inde,2.2204460492503132e-17,4.440892098500627e-17
variacao_indicadores,1.6653345369377347e-17,3.9642891350404606e-17
media_indicadores,1.6653345369377347e-17,3.9642891350404606e-17
ida,1.1102230246251566e-17,3.33066907387547e-17
engajamento_social,1.1102230246251566e-17,3.33066907387547e-17
